ax,ay,az,agx,agy,agz,gx,gy,gz,roll,pitch,yaw
-0.12561,0.10900,0.22108,-0.38615,-5.80481,-7.89465,0.03983,0.01773,0.00892,-0.04887,0.63345,-0.21821
-0.10069,0.13610,0.27285,-0.38444,-5.80737,-7.89285,0.02318,0.03782,0.00540,-0.04867,0.63377,-0.21810
-0.05374,0.09969,0.24550,-0.38185,-5.80852,-7.89213,0.00847,0.03841,0.00459,-0.04835,0.63392,-0.21801
-0.08261,0.07200,0.21565,-0.37962,-5.80896,-7.89191,0.00287,0.02494,0.00764,-0.04807,0.63397,-0.21793
-0.12447,0.04408,0.20676,-0.37846,-5.80872,-7.89214,-0.00768,0.01396,0.00527,-0.04792,0.63394,-0.21786
-0.13575,0.05036,0.19302,-0.37750,-5.80752,-7.89307,-0.02612,0.02103,0.00608,-0.04779,0.63379,-0.21780
-0.11549,0.03795,0.16945,-0.37577,-5.80468,-7.89524,-0.04534,0.03091,0.00954,-0.04756,0.63343,-0.21773
-0.06672,0.01604,0.09984,-0.37382,-5.80058,-7.89835,-0.05594,0.02843,0.01112,-0.04729,0.63291,-0.21763
-0.05378,0.02262,0.02153,-0.37254,-5.79624,-7.90159,-0.05350,0.02269,0.01181,-0.04711,0.63236,-0.21751
-0.06462,0.03084,-0.06896,-0.37158,-5.79278,-7.90418,-0.03217,0.01970,0.01263,-0.04698,0.63193,-0.21739
-0.05520,0.03917,-0.14954,-0.37067,-5.79110,-7.90545,-0.00734,0.01499,0.00838,-0.04685,0.63171,-0.21728
-0.07814,0.04373,-0.15548,-0.36958,-5.79132,-7.90534,0.01111,0.01523,-0.00309,-0.04672,0.63174,-0.21725
-0.08698,0.05247,-0.11913,-0.36792,-5.79287,-7.90428,0.02652,0.01717,-0.01434,-0.04651,0.63194,-0.21733
-0.08377,0.02048,-0.09849,-0.36515,-5.79529,-7.90263,0.03059,0.02631,-0.02303,-0.04617,0.63224,-0.21754
0.02012,-0.02178,-0.07691,-0.36159,-5.79793,-7.90086,0.03594,0.03325,-0.01351,-0.04573,0.63258,-0.21775
0.10897,-0.04836,-0.02515,-0.35887,-5.80097,-7.89875,0.04013,0.02282,-0.00601,-0.04540,0.63296,-0.21784
0.09401,-0.04510,-0.01883,-0.35782,-5.80424,-7.89640,0.04242,0.00057,0.00171,-0.04528,0.63337,-0.21784
0.08786,-0.04583,0.05076,-0.35855,-5.80724,-7.89416,0.03380,-0.00638,0.01100,-0.04539,0.63375,-0.21774
0.11847,-0.04966,0.08408,-0.35983,-5.80925,-7.89262,0.01993,0.00044,0.01922,-0.04556,0.63401,-0.21751
0.06430,-0.05355,0.09037,-0.36073,-5.81000,-7.89203,0.00199,0.00819,0.01720,-0.04568,0.63410,-0.21727
-0.00380,-0.04131,0.07486,-0.36087,-5.80952,-7.89238,-0.00819,0.01310,0.01687,-0.04569,0.63404,-0.21707
0.00384,-0.04587,0.00151,-0.36073,-5.80855,-7.89310,-0.01270,0.01161,0.01365,-0.04567,0.63392,-0.21688
0.00177,-0.02994,-0.02727,-0.36120,-5.80758,-7.89379,-0.00968,-0.00307,0.01109,-0.04573,0.63380,-0.21672
-0.03458,-0.02704,-0.03362,-0.36226,-5.80718,-7.89403,0.00269,-0.00851,0.00700,-0.04586,0.63375,-0.21661
-0.05469,-0.00523,-0.04729,-0.36340,-5.80760,-7.89368,0.00948,-0.00492,0.00802,-0.04600,0.63380,-0.21651
-0.04527,0.01973,-0.01966,-0.36369,-5.80847,-7.89302,0.01201,0.00663,0.00753,-0.04605,0.63391,-0.21642
